state,Coming soon,Future release,Move-in ready,Under construction
alabama,2,49,81,169
arizona,0,117,77,125
california,34,792,260,430
colorado,1,58,38,121
delaware,21,38,42,47
florida,134,721,291,828
georgia,9,42,10,32
idaho,0,22,13,39
illinois,17,58,17,93
indiana,47,109,88,102
maryland,10,46,32,44
minnesota,41,270,140,117
nevada,13,39,108,88
new-jersey,9,15,8,58
north-carolina,38,223,111,160
oklahoma,0,0,0,8
oregon,0,41,53,56
pennsylvania,1,23,30,7
south-carolina,8,322,170,231
tennessee,13,28,10,29
texas,166,834,494,493
utah,0,40,5,18
virginia,4,5,4,2
