state,n_homes_06-2023,ring_homes_06-2023,n_homes_10-2022,ring_homes_10-2022,pct-change-N-homes,pct-change-usb
alabama,301.0,39.0,175.0,0.0,72.0,inf
arizona,319.0,259.0,343.0,334.0,-7.0,-22.46
california,1516.0,1016.0,1281.0,1104.0,18.35,-7.97
colorado,218.0,0.0,277.0,251.0,-21.3,-100.0
delaware,148.0,88.0,183.0,180.0,-19.13,-51.11
florida,1974.0,1054.0,2109.0,1000.0,-6.4,5.4
georgia,93.0,54.0,105.0,91.0,-11.43,-40.66
idaho,74.0,6.0,22.0,19.0,236.36,-68.42
illinois,185.0,185.0,192.0,141.0,-3.65,31.21
indiana,346.0,328.0,296.0,260.0,16.89,26.15
maryland,132.0,108.0,144.0,93.0,-8.33,16.13
minnesota,568.0,556.0,665.0,659.0,-14.59,-15.63
nevada,248.0,47.0,336.0,254.0,-26.19,-81.5
new-jersey,90.0,0.0,116.0,91.0,-22.41,-100.0
north-carolina,532.0,166.0,621.0,464.0,-14.33,-64.22
oklahoma,8.0,0.0,0.0,0.0,inf,
oregon,150.0,8.0,147.0,145.0,2.04,-94.48
pennsylvania,61.0,6.0,9.0,9.0,577.78,-33.33
south-carolina,731.0,7.0,397.0,196.0,84.13,-96.43
tennessee,80.0,80.0,100.0,100.0,-20.0,-20.0
texas,1987.0,268.0,1900.0,831.0,4.58,-67.75
utah,63.0,15.0,74.0,74.0,-14.86,-79.73
virginia,15.0,0.0,69.0,32.0,-78.26,-100.0
washington,0.0,0.0,221.0,207.0,-100.0,-100.0
west-virginia,0.0,0.0,24.0,5.0,-100.0,-100.0
wisconsin,0.0,0.0,27.0,0.0,-100.0,
