state,n_homes_06-2023,usb_homes_06-2023,total_features_06-2023,features_per_home_06-2023,n_homes_10-2022,usb_homes_10-2022,total_features_10-2022,features_per_home_10-2022,pct-change-N-homes,pct-change-usb,pct-change-avg-feats-per-home
alabama,301.0,228.0,28545.0,169.8679332715477,175.0,122.0,17038.0,175.26691729323306,72.0,86.89,-3.08
arizona,319.0,44.0,13219.0,91.57253670699049,343.0,72.0,16033.0,113.04644412191583,-7.0,-38.89,-19.0
california,1516.0,1118.0,95066.0,518.5904310939645,1281.0,1089.0,84737.0,454.3713620095483,18.35,2.66,14.13
colorado,218.0,4.0,13151.0,60.325688073394495,277.0,246.0,22229.0,80.24909747292419,-21.3,-98.37,-24.83
delaware,148.0,8.0,8486.0,113.85170807453416,183.0,88.0,12347.0,134.92630195891064,-19.13,-90.91,-15.62
florida,1974.0,165.0,91088.0,670.2268432310016,2109.0,167.0,94061.0,593.4835666430818,-6.4,-1.2,12.93
georgia,93.0,0.0,4841.0,109.09254658385093,105.0,0.0,6316.0,119.6923076923077,-11.43,,-8.86
idaho,74.0,0.0,3819.0,97.32794117647059,22.0,19.0,1654.0,75.18181818181819,236.36,-100.0,29.46
illinois,185.0,0.0,13158.0,71.12432432432432,192.0,0.0,12808.0,66.70833333333333,-3.65,,6.62
indiana,346.0,0.0,29596.0,162.18968071099408,296.0,0.0,25970.0,153.7199074074074,16.89,,5.51
maryland,132.0,12.0,6641.0,206.90427138597374,144.0,91.0,6258.0,195.75344827586207,-8.33,-86.81,5.7
minnesota,568.0,0.0,48753.0,85.83274647887323,665.0,0.0,60447.0,90.89774436090225,-14.59,,-5.57
nevada,248.0,43.0,9906.0,100.09526833915528,336.0,231.0,19270.0,105.79010137149672,-26.19,-81.39,-5.38
new-jersey,90.0,38.0,4954.0,55.044444444444444,116.0,71.0,8782.0,75.70689655172414,-22.41,-46.48,-27.29
north-carolina,532.0,232.0,37028.0,272.70392211794365,621.0,171.0,47516.0,222.65384505385987,-14.33,35.67,22.48
oklahoma,8.0,0.0,432.0,54.0,0.0,0.0,0.0,0.0,inf,,inf
oregon,150.0,37.0,8755.0,172.61256038647343,147.0,147.0,9805.0,135.61186186186188,2.04,-74.83,27.28
pennsylvania,61.0,0.0,3385.0,167.23214285714286,9.0,5.0,565.0,124.0,577.78,-100.0,34.86
south-carolina,731.0,307.0,46076.0,349.60472044032736,397.0,37.0,25916.0,288.09890730833865,84.13,729.73,21.35
tennessee,80.0,0.0,5315.0,66.4375,100.0,0.0,6974.0,69.74,-20.0,,-4.74
texas,1987.0,0.0,98932.0,249.06435950793065,1900.0,0.0,99337.0,204.4767786299306,4.58,,21.81
utah,63.0,0.0,4658.0,73.93650793650794,74.0,0.0,6277.0,84.82432432432432,-14.86,,-12.84
virginia,15.0,0.0,33.0,2.2,69.0,14.0,2049.0,80.20408163265306,-78.26,-100.0,-97.26
washington,0.0,0.0,0.0,0.0,221.0,18.0,25220.0,280.55552795031053,-100.0,-100.0,-100.0
west-virginia,0.0,0.0,0.0,0.0,24.0,0.0,310.0,12.916666666666666,-100.0,,-100.0
wisconsin,0.0,0.0,0.0,0.0,27.0,0.0,88.0,3.259259259259259,-100.0,,-100.0
